_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore
ObjectId(59fea10dcfb0a004a0586ecb),0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,9i5pzi03rslWmzDyBcOZgSFZYo5dtH,97sVsDWwa1,11,randFromNumberOfSpades,3,4,1,1,,-76,4,-29,8,6,5,4,8,0,-71
ObjectId(59fea10dcfb0a004a0586ecc),0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,9i5pzi03rslWmzDyBcOZgSFZYo5dtH,7UFXyPMEho,11,randFromNumberOfSpades,4,3,4,1,1,-29,8,-76,4,4,4,0,8,1,-25
ObjectId(59fea11bcfb0a004a0586f01),1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,1,randFromNumberOfSpades,1,4,,,,0,0,0,0,5,7,1,4,1,-51
ObjectId(59fea11bcfb0a004a0586f02),0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,ZobMkk9bOk,1,randFromNumberOfSpades,2,1,4,,,0,0,0,0,3,-6,0,4,0,-58
ObjectId(59fea11bcfb0a004a0586f03),0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,1,randFromNumberOfSpades,3,3,1,4,,0,0,0,0,3,7,1,4,1,-51
ObjectId(59fea11bcfb0a004a0586f04),0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,1,randFromNumberOfSpades,4,5,3,1,4,0,0,0,0,1,-6,0,4,0,-58
ObjectId(59fea128cfb0a004a0586f39),0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,ZobMkk9bOk,2,randFromNumberOfSpades,1,2,,,,-6,0,7,1,2,7,2,4,0,-58
ObjectId(59fea128cfb0a004a0586f3a),1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,2,randFromNumberOfSpades,2,1,2,,,7,1,-6,0,2,-5,0,4,1,-51
ObjectId(59fea128cfb0a004a0586f3b),0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,2,randFromNumberOfSpades,3,5,1,2,,-6,0,7,1,7,7,2,4,0,-58
ObjectId(59fea128cfb0a004a0586f3c),0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,2,randFromNumberOfSpades,4,4,5,1,2,7,1,-6,0,2,-5,0,4,1,-51
