_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore,learningVersion
ObjectId(5a120fa1e10a9b00012aebdd),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,HCTerku3ef8GgnpOhDuERjGU8ThuCe,cZWfoHuZXR,24,nn,3,3,3,3,,17,5,15,4,4,6,0,7,,51,0.2
ObjectId(5a120fa1e10a9b00012aebde),0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,AmKMveWEcf,24,nn,4,3,3,3,3,15,4,17,5,1,6,1,9,,52,0.2
ObjectId(5a120fa5e10a9b00012aec13),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,0L2ktqitGU,25,nn,1,3,,,,21,5,23,5,4,6,2,9,,52,0.2
ObjectId(5a120fa5e10a9b00012aec14),0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,cZWfoHuZXR,25,nn,2,3,3,,,23,5,21,5,3,4,1,7,,51,0.2
ObjectId(5a120fa5e10a9b00012aec15),0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,HCTerku3ef8GgnpOhDuERjGU8ThuCe,AmKMveWEcf,25,nn,3,3,3,3,,21,5,23,5,4,6,2,9,,52,0.2
ObjectId(5a120fa6e10a9b00012aec16),0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,R8fGOimVdV,25,nn,4,1,3,3,3,23,5,21,5,2,4,1,7,,51,0.2
ObjectId(5a120faae10a9b00012aec4b),1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,cZWfoHuZXR,26,nn,1,3,,,,27,6,27,7,1,6,1,7,,51,0.2
ObjectId(5a120faae10a9b00012aec4c),0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,AmKMveWEcf,26,nn,2,3,3,,,27,7,27,6,5,6,0,9,,52,0.2
ObjectId(5a120faae10a9b00012aec4d),0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,HCTerku3ef8GgnpOhDuERjGU8ThuCe,R8fGOimVdV,26,nn,3,3,3,3,,27,6,27,7,6,6,1,7,,51,0.2
ObjectId(5a120faae10a9b00012aec4e),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,0L2ktqitGU,26,nn,4,3,3,3,3,27,7,27,6,1,6,0,9,,52,0.2
